id,author_year,country,setting,level_of_care,design,n_patients,n_events,n_clinicians,population_detail,intervention,comparator,outcomes_measured,primary_result,effect_size,ci_lower,ci_upper,p_value,secondary_results,ascertainment_method,rob_tool,rob_domains,rob_overall,directness,grade_certainty,grade_reason,funding,conflicts,key_limitation,abstract_only,pmid,doi,notes,gestational_age_range,glucose_threshold_used,glucose_measurement_method,outcome_timepoint,dose_response_reported
E1,McKinlay 2015,New Zealand,"Waikato Hospital, Hamilton",regional perinatal centre,prospective cohort,404/528 eligible (614 total recruited),216 (53%) hypoglycaemic,,">=35 weeks at risk of hypoglycaemia (IDM, preterm, SGA, LGA, acute illness)",hypoglycaemia treated to maintain BG>=2.6 mmol/L (47 mg/dL),no hypoglycaemia,"neurosensory impairment; processing difficulty (Bayley-III, executive function, motion coherence) at 2y",no association,RR 0.95 (neurosensory); RR 0.92 (processing difficulty),0.75 / 0.56,1.20 / 1.51,0.67 / 0.74,"unrecognised (interstitial-only) hypoglycaemia, lowest glucose, episode number, negative interstitial increment all non-predictive",masked continuous interstitial glucose monitoring + intermittent blood glucose,"not applied (cohort, narrative synthesis)",,"low-moderate (masked assessors, prospective, 77% follow-up)",direct - late preterm/term at-risk population,Moderate,imprecision (wide CIs); no untreated comparator possible,Eunice Kennedy Shriver NICHD and others,not extracted,single-centre; treat-to-threshold design cannot inform untreated natural history,N,26465984,10.1056/NEJMoa1504909,CHYLD study 2-year primary outcome; null result given equal prominence per brief rule,>=35 weeks,2.6 mmol/L / 47 mg/dL (treatment); severe <2.0 mmol/L / 36 mg/dL,mixed (intermittent blood glucose + masked continuous interstitial),2 years,N (not significant at this timepoint)
E2,McKinlay 2017,New Zealand,"Waikato Hospital, Hamilton",regional perinatal centre,prospective cohort (CHYLD follow-up),477/604 eligible (79.0%),280 (58.7%) hypoglycaemic,,>=35 weeks at risk of hypoglycaemia,as E1,no hypoglycaemia,combined neurosensory impairment; executive function; visual-motor function at 4.5y,null for composite; positive for executive & visual-motor function,RD 0.01/RR 0.96 (composite); RD 0.05/RR 2.32 (low executive function); RD 0.03/RR 3.67 (visual-motor),-0.07 / 0.77 ; 0.01 / 1.17 ; 0.01 / 1.15,0.10 / 1.21 ; 0.10 / 4.59 ; 0.06 / 11.69,not reported (CI-based),"highest risk with severe, recurrent (>=3 episodes), or clinically undetected (interstitial-only) hypoglycaemia - dose-response",masked continuous interstitial glucose monitoring + intermittent blood glucose,"not applied (cohort, narrative synthesis)",,low-moderate,direct - late preterm/term at-risk population,Moderate,imprecision (wide CI on executive function RR); indirectness (single cohort),not extracted,not extracted,domain-specific not global effect; single cohort,N,28783802,10.1001/jamapediatrics.2017.1579,CHYLD 4.5-year follow-up; central dose-response finding for this domain,>=35 weeks,2.6 mmol/L / 47 mg/dL; severe <2.0 mmol/L / 36 mg/dL; recurrent >=3 episodes,mixed (intermittent blood glucose + masked continuous interstitial),4.5 years,Y
E3,Shah 2022 (JAMA),New Zealand,"Waikato Hospital, Hamilton",regional perinatal centre,prospective cohort (CHYLD follow-up),480/587 eligible (82%),304 exposed / 176 unexposed,,moderate-late preterm and term at risk of hypoglycaemia,as E1/E2,no hypoglycaemia,low educational achievement (reading/maths) at 9-10y; 47 secondary outcomes,null,aRD -2%; aRR 0.95,-11% / 0.78,8% / 1.15,not significant,"teacher-rated reading below curriculum LOWER in exposed group (24% vs 31%, aRD -9%, 95% CI -17 to -1, aRR 0.72, p=.04) - likely multiplicity/chance given 47 secondary comparisons; all other secondary outcomes non-significant",standardised curriculum-referenced tests + teacher rating,not applied,,low-moderate,direct - late preterm/term at-risk population,Moderate,imprecision; single cohort (indirectness re: unselected term population),not extracted,not extracted,"counter-intuitive secondary finding most likely a multiplicity artefact, not causal",N,35315886,10.1001/jama.2022.0992,CHYLD 9-10 year academic achievement outcome; second null primary result at later timepoint,moderate-late preterm and term,2.6 mmol/L / 47 mg/dL,mixed (intermittent blood + masked interstitial),9-10 years,not analysed in this paper
E4,Kennedy 2022,New Zealand,"Waikato Hospital, Hamilton",regional perinatal centre,"prospective cohort substudy (CHYLD, MRI subset)",101 (70 with prior hypoglycaemia),70,,">=36 weeks at risk of hypoglycaemia, MRI subset at 9-10y",n/a (structural correlate study),no hypoglycaemia,"caudate volume (FreeSurfer) vs executive function, academic achievement, emotional-behavioural regulation",caudate volume associated with emotional-behavioural difficulties and prosocial behaviour; no significant caudate x hypoglycaemia interaction on main outcomes,not a single pooled effect size (regression/interaction study),,,interaction p=0.03 for visual memory (unexposed only),hypoglycaemia associated with smaller caudate volume (from prior work) but this did not explain behavioural/cognitive associations in this analysis,MRI + FreeSurfer volumetrics,not applied,,"moderate (small subsample, n=101)","direct - late preterm/term at-risk population, MRI subset",Low,imprecision (small n); indirectness (subsample of subsample),not extracted,not extracted,"structural correlate not yet mechanistically linked to behavioural findings - parallel finding, not explanatory",N,36513807,10.1038/s41390-022-02410-3,"Structural correlate; explicitly flagged in brief as needing clarity on whether it explains behavioural findings - it does not, per this paper",>=36 weeks,2.6 mmol/L / 47 mg/dL,mixed,9-10 years,not applicable (structural correlate study)
E5,May 2026,New Zealand,pooled Auckland-programme cohorts,regional perinatal centres,pooled cohort analysis (3 prospective cohorts),2894 infants / 18947 glucose readings,not reported as single figure,,"late preterm and term at risk of hypoglycaemia, pooled CHYLD/Sugar Babies/hPOD-programme cohorts",n/a (measurement-comparison study),n/a,"Bayley motor/cognitive/language, BRIEF global executive composite at 2y, by continuous vs dichotomous glycaemic measures",dichotomous severe/recurrent hypoglycaemia more strongly predictive than continuous variability measures,-3.1 (severe) vs -2.1 (recurrent) vs -0.9 (per 1SD gradient variability) adjusted mean Bayley motor score,-4.8/-3.6/-1.4,-1.5/-0.6/-0.3,CI-based,"associations similar for cognitive, language, and executive composite scores","intermittent capillary blood glucose, multiple derived continuous and dichotomous measures",not applied,,moderate,direct - late preterm/term at-risk population,Low,"very recent single analysis (2026), not yet independently replicated; indirectness of variability metrics not previously validated",not extracted,not extracted,first head-to-head test of variability vs threshold measures in this evidence base - open rather than closed question per authors,N,42050117,10.1038/s41390-026-04958-w,"Directly addresses brief's Domain D glycaemic-variability question, though this cohort is late-preterm/term not preterm",late preterm and term,severe <2.0 mmol/L/36 mg/dL; recurrent >=3 episodes; treated to >=2.6 mmol/L/47 mg/dL,"point-of-care/laboratory, intermittent, multiple derived metrics",2 years,Y
E6,Harris 2015 (Sugar Babies 2y),New Zealand,"Kahikatea House, Hamilton",regional perinatal centre,RCT follow-up,184/237 randomised,66 (36%) neurosensory impairment overall,,">=35 weeks, confirmed hypoglycaemia <2.6 mmol/L in first 48h",40% dextrose gel,placebo gel,neurosensory impairment; processing difficulty at 2y,no difference between arms,RR 1.11 (neurosensory); RR 0.52 (processing difficulty),0.75 / 0.23,1.63 / 1.15,not significant,"high absolute rate of impairment in BOTH arms (36% overall: 1 severe, 6 moderate, 59 mild) reflecting underlying risk-factor burden, not gel effect","Bayley-III, BRIEF-P, clinical exam, motion coherence",not applied,,"low (RCT, masked assessors)",direct - late preterm/term with confirmed hypoglycaemia,Moderate,"imprecision (wide CIs, moderate sample)",not extracted,not extracted,high baseline impairment rate not attributable to gel allocation,N,26613985,10.1016/j.jpeds.2015.10.066,"Sugar Babies trial 2-year follow-up (treatment, not prophylaxis)",>=35 weeks,2.6 mmol/L / 47 mg/dL,laboratory/point-of-care confirmed,2 years,N
E7,Harris 2022 (Sugar Babies 4.5y),New Zealand,"Kahikatea House, Hamilton",regional perinatal centre,RCT follow-up,185/237 (78%),96 dextrose / 89 placebo,,">=35 weeks, confirmed hypoglycaemia <2.6 mmol/L",40% dextrose gel,placebo gel,neurosensory impairment at 4.5y; visual processing; growth,no difference in neurosensory impairment,RR 0.96,0.66,1.34,0.83,"dextrose arm WORSE visual processing scores (94.5 vs 99.8, p=0.02); dextrose arm taller (z 0.18 vs -0.17, p=0.001) and heavier (z 0.57 vs 0.29, p=0.01)","Beery VMI, motion coherence, MABC-2, WPPSI",not applied,,"low (RCT, masked assessors)",direct,Low,imprecision - visual processing is a secondary outcome not powered as primary,not extracted,not extracted,mechanistically unexplained adverse secondary signal,N,35940872,10.1136/archdischild-2022-324148,Adverse visual-processing signal given equal prominence to reassuring primary null per brief rule,>=35 weeks,2.6 mmol/L / 47 mg/dL,laboratory/point-of-care confirmed,4.5 years,N
E8,St Clair 2022 (Sugar Babies mid-childhood),New Zealand,"Kahikatea House, Hamilton",regional perinatal centre,RCT follow-up,184/227 eligible (81%),86 dextrose / 94 placebo (educational outcome denominators),,">=35 weeks, confirmed hypoglycaemia",40% dextrose gel,placebo gel,low educational achievement; visual perception; executive function at 9-10y,no difference in educational achievement,RR 1.04,0.76,1.44,0.79,"dextrose arm LOWER visual perception scores (95.2 vs 100.6, MD -5.68, 95% CI -9.79 to -1.57, p=0.006) and more scoring <85 (23% vs 11%, RR 2.23, 95% CI 1.13-4.37, p=0.02) - replicates 4.5y signal","curriculum-referenced tests, Beery VMI",not applied,,"low (RCT, masked assessors)",direct,Low,imprecision (secondary outcome); though now replicated across two timepoints in same trial,not extracted,not extracted,mechanism for visual-processing signal unknown; replicated across 4.5y and 9-10y in same trial,N,36516806,10.1159/000527715,Visual-processing adverse signal now replicated at two timepoints - given equal prominence to null primary result,>=35 weeks,2.6 mmol/L / 47 mg/dL,laboratory/point-of-care confirmed,9-10 years,N
E9,"Edwards 2022 (hPOD ITT, JAMA)",New Zealand,9 NZ hPOD centres,maternity hospitals (mixed level),RCT follow-up (intention-to-treat),1197/1321 (91%),681 dextrose / 678 placebo (randomised),,"late preterm and term at risk of hypoglycaemia, well at 1h of age",prophylactic 40% dextrose gel at 1h,placebo gel,neurosensory impairment at 2y; 44 secondary outcomes (Bayley-III composites),no significant difference,20.8% vs 18.7%; aRR 1.13,0.90,1.41,not significant,"dextrose arm HIGHER motor delay (2.5% vs 0.7%, aRR 3.79, 95% CI 1.27-11.32) and LOWER cognitive (aMD -1.30), language (aMD -2.16), motor (aMD -1.40) composite scores; no difference on other 27 secondary outcomes","Bayley-III, neurological exam",not applied,,"low (RCT, masked assessors)","direct - at-risk, prophylactic (not treatment) population",Low,imprecision - trial authors state it may be underpowered for this signal,not extracted,not extracted,adverse secondary signal not a reassuring null - explicitly flagged by trial authors as possible true effect under-detected,N,35315885,10.1001/jama.2022.2363,hPOD prophylaxis ITT effect; distinct from observational exposure analysis E10,late preterm and term,prophylaxis; treatment threshold 2.6 mmol/L/47 mg/dL,point-of-care/laboratory,2 years,not applicable (ITT prophylaxis analysis)
E10,"Edwards 2022 (hPOD exposure analysis, JAMA Netw Open)",New Zealand,9 NZ hPOD centres,maternity hospitals (mixed level),"observational cohort analysis within RCT population (by hypoglycaemia exposure, not allocation)",1197/1321 (91%),"236 with neurosensory impairment (111 exposed + 125 unexposed, approx.)",,"late preterm and term at risk, hPOD population",n/a (observational by exposure),no hypoglycaemia,neurosensory impairment at 2y,hypoglycaemia associated with higher impairment,"23% vs 18%; aRR 1.28 (severe: 28% vs 18%, aRR 1.68)",1.01 (overall) / 1.20 (severe),1.60 (overall) / 2.36 (severe),CI-based,"recurrent episodes NOT associated (19% vs 18%, aRR 1.06, 95% CI 0.63-1.80); lower Bayley cognitive (aMD -1.48) and motor (aMD -2.05) scores","Bayley-III, neurological exam",not applied,,moderate-high risk of confounding by indication (observational within RCT),direct population but observational design - confounded by indication (why prophylaxis failed),Low,"risk of bias - confounding by indication, not a randomised comparison",not extracted,not extracted,"apparent tension with CHYLD randomised null - methodologically not directly comparable, flagged not resolved",N,36219444,10.1001/jamanetworkopen.2022.35989,Observational exposure analysis distinct from ITT prophylaxis effect E9; tension with CHYLD discussed in synthesis (d),late preterm and term,2.6 mmol/L/47 mg/dL; severe <2.0 mmol/L/36 mg/dL; recurrent >=3 episodes,point-of-care/laboratory,2 years,"Y (severity yes, recurrence no)"
